STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/6/18,0,0,0,71,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/7/18,0,0,0,66,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/8/18,0,0,0,74,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/9/18,0,0,0,79,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/10/18,0.02,0,0,72,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/11/18,0.02,0,0,69,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/12/18,0,0,0,69,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/13/18,0.04,0,0,73,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/14/18,0,0,0,85,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/15/18,0,0,0,77,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/16/18,0,0,0,82,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/17/18,0,0,0,87,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/18/18,0.43,0,0,80,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/19/18,0.02,0,0,89,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/20/18,0.01,0,0,78,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/21/18,0.28,0,0,82,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/22/18,0.04,0,0,71,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/23/18,0,0,0,67,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/24/18,0.17,0,0,77,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/25/18,0,0,0,82,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/26/18,0,0,0,73,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/27/18,0.02,0,0,73,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/28/18,0.93,0,0,80,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/29/18,0,0,0,91,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/30/18,0,0,0,88,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/1/18,0,0,0,94,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/2/18,0,0,0,91,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/3/18,0.01,0,0,86,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/4/18,0,0,0,86,75
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/5/18,0,0,0,86,75
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/6/18,0.11,0,0,84,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/7/18,0,0,0,75,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/8/18,0,0,0,78,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/9/18,0,0,0,83,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/10/18,0,0,0,89,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/11/18,0,0,0,88,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/12/18,0,0,0,83,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/13/18,0,0,0,81,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/14/18,0.28,0,0,85,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/15/18,0.6,0,0,82,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/16/18,0,0,0,87,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/17/18,0.68,0,0,83,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/18/18,0,0,0,87,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/19/18,0,0,0,81,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/20/18,0,0,0,80,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/21/18,0.58,0,0,77,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/22/18,0.93,0,0,78,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/23/18,0.07,0,0,79,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/24/18,0,0,0,83,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/25/18,0.3,0,0,81,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/26/18,0,0,0,85,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/27/18,1.17,0,0,86,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/28/18,0,0,0,85,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/29/18,0,0,0,83,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/30/18,0.02,0,0,81,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/31/18,0,0,0,79,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/1/18,0.02,0,0,84,75
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/2/18,0.02,0,0,85,76
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/3/18,0.05,0,0,84,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/4/18,0.17,0,0,86,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/5/18,0,0,0,88,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/6/18,0,0,0,89,75
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/7/18,0.74,0,0,85,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/8/18,0.01,0,0,85,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/9/18,0.3,0,0,90,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/10/18,0,0,0,86,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/11/18,0.33,0,0,79,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/12/18,1.84,0,0,83,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/13/18,0.6,0,0,77,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/14/18,0.14,0,0,82,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/15/18,0,0,0,89,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/16/18,0,0,0,89,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/17/18,0.03,0,0,85,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/18/18,0.14,0,0,86,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/19/18,0.02,0,0,73,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/20/18,0,0,0,74,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/21/18,0,0,0,76,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/22/18,0.26,0,0,86,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/23/18,0.01,0,0,80,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/24/18,0,0,0,81,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/25/18,0,0,0,79,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/26/18,0,0,0,81,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/27/18,0,0,0,87,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/28/18,0,0,0,90,76
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/29/18,0,0,0,92,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/30/18,0,0,0,92,77
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/31/18,0,0,0,77,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/1/18,0.01,0,0,77,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/2/18,0,0,0,80,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/3/18,0,0,0,84,75
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/4/18,0,0,0,93,76
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/5/18,0,0,0,87,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/6/18,0.69,0,0,89,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/7/18,0,0,0,77,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/8/18,0.04,0,0,72,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/9/18,0.44,0,0,63,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/10/18,1.25,0,0,65,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/11/18,0.27,0,0,76,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/12/18,0.04,0,0,79,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/13/18,0.11,0,0,78,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/14/18,0,0,0,78,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/15/18,0,0,0,79,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/16/18,0,0,0,80,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/17/18,0,0,0,79,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/18/18,0.67,0,0,81,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/19/18,0,0,0,84,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/20/18,0,0,0,73,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/21/18,0,0,0,73,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/22/18,0,0,0,75,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/23/18,0.04,0,0,69,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/24/18,0,0,0,71,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/25/18,0.81,0,0,73,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/26/18,0.36,0,0,79,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/27/18,0,0,0,75,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/28/18,1.26,0,0,65,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/29/18,0,0,0,76,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/30/18,0,0,0,70,54
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/1/18,0,0,0,75,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/2/18,0.33,0,0,77,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/3/18,0,0,0,78,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/4/18,0.04,0,0,75,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/5/18,0,0,0,71,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/6/18,0,0,0,69,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/7/18,0,0,0,80,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/8/18,0,0,0,71,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/9/18,0,0,0,74,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/10/18,0,0,0,77,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/11/18,1.03,0,0,76,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/12/18,0.77,0,0,70,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/13/18,0.05,0,0,58,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/14/18,0,0,0,59,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/15/18,0.07,0,0,68,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/16/18,0.01,0,0,62,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/17/18,0,0,0,63,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/18/18,0,0,0,52,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/19/18,0,0,0,60,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/20/18,0.08,0,0,63,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/21/18,0.01,0,0,53,40
